1341639417539248128 2020-12-23 07:58:58 +0100 <birgirm_m> @Pharmdca $ocul $myov $psnl $alxn $pacb
1341601788500164609 2020-12-23 05:29:26 +0100 <starcevic_alex> Overbought 12/18 $CLSK $ORCL $JSD $ATEN $ADV $ALXN $SNCA $CFIIU $MC $NGM $NVGS $DEH $REKR $MP $OFS $ACTCU $WPRT $NP $TPL $FCAU $CRIS $MG $INFN $KFS $FREE $RESI $MSGN $TWTR $NSTG $SLDB $PLSE $OXFD $BEAT $STPK $BCRX
1341594952611090432 2020-12-23 05:02:16 +0100 <InsiderAlerts4U> $ALXN:  New Insider Filing on ALEXION PHARMACEUTICALS, INC.'s  EVP, Research &amp; Development  JOHN J ORLOFF:   https://t.co/iRVC7Njdwb
1341585157439033351 2020-12-23 04:23:21 +0100 <brokedarnell> CVS &amp; Walgreens Hiring 35,000 To Help With Vaccine Distribution 🥼🏥💉🦠💊🩺 🔬 $AZN $ALXN $BMY $MRNA $PFE $ABBV $ABT $JNJ $MRK $TEVA $XLV $XBI $UNH $TMO $MDT $GILD $CVS $LLY $WBA $BIIB $ABNB $PENN $DASH $ABCL $SPY $TSLA $FB $AMZN $GBTC  https://t.co/v7UATxnMUy
1341576314558570502 2020-12-23 03:48:13 +0100 <tank_trading> $ALXN  https://t.co/d55rnl46oe
1341565230674030594 2020-12-23 03:04:10 +0100 <BigCForever> @Pharmdca After $alxn buyout.. $hznp is regarded as buyout candidate
1341540909582848000 2020-12-23 01:27:32 +0100 <LasVegasWater> $SLV Silver Ishares are breaking out in After Hours  Gold &amp; Silver prices are BREAKING OUT BOoooooooom  $HALO $NBIX $ACAD $GWPH $CPRX $AIMT $BHVN $AIMT $ITCI $INO $NVAX $JNJ $NVS $MRK $ABT $AMGN $ABBV $AZN $LLY $GSK $SYK $SNY $ZTS $TAK $VRTX $BIIB $TEVA $ILMN $REGN $ALXN $SGEN  https://t.co/7QfWPjBnfA
1341520543795851266 2020-12-23 00:06:36 +0100 <AAABiotech> $BCRX $ALXN $AZN JMP hematology summit....  https://t.co/8bVWTHvGm6
1341514578996424707 2020-12-22 23:42:54 +0100 <stockmktgenius> $ALXN Alexion Pharmaceuticals,  Leading stock #BreakOutWatch Recent close 153.81 Liquidity: $432M  https://t.co/wMy1spFJMS
1341507386243121153 2020-12-22 23:14:19 +0100 <starcevic_alex> Recent insider selling 12/22 $ABEO $ALTR $ALXN $AMC $AME $ARTNA $ATRC $ATSG $AVGO $AXGN $BCEL $BDC $BDR $BRKR $CI $CKH $CLXT $CME $CNK $COG $COST $CVNA $DIOD $DLB $DMRC $EA $EGHT $EV $EXLS $EXP $EXPI $FB $FBHS $FREQ $GAIA $GBX $GEF $GLDD $GNLN $HALO $HCAT $IBKR $IIIV $IMRA $ISSC
1341506135132692480 2020-12-22 23:09:21 +0100 <portefeuillefun> #vssporte top40 positions. $ACTG $AFMD $ALXN $ARWR $BNTX $ETX $EXEL $FGEN $GLPG $KAN $MOR $NVAX $PRTC $QURE $RCKT $SIOX $SLN $TCRR $TNXP $VRTX  https://t.co/9erkFN2QTg
1341499380776529924 2020-12-22 22:42:30 +0100 <donHolm10> Gamingstocks is what You should own!  $JNJ $NVS $MRK $ABT $AMGN $ABBV $AZN $LLY $GSK $SYK $SNY $ZTS $TAK $VRTX $BIIB $TEVA $ILMN $REGN $ALXN $SGEN $BMRN $GMAB $MYL $TSLA $APPL $GOOGL $aapl $abbv $brk $bhc $ba $crm $kr $mcd $qsr $iep $shak $btc $mrk $fb   https://t.co/cCk00oo4ZF
1341483086576496640 2020-12-22 21:37:46 +0100 <AIBiotechnology> $PFE Pfizer **Vaccine #COVID19   FDA Approved for Emergency Use @ $PFE   https://t.co/AqJYWoUC0J  $JNJ $NVS $MRK $ABT $AMGN $ABBV $AZN $LLY $GSK $SYK $SNY $ZTS $TAK $VRTX $BIIB $TEVA $ILMN $REGN $ALXN $SGEN $BMRN $GMAB $MYL
1341481197281538048 2020-12-22 21:30:15 +0100 <GomancityPaul> @semodough $alxn a way in with some discount
1341479253947375618 2020-12-22 21:22:32 +0100 <lse0086> $QS Just matter of time.... Big red day coming tomorrow!  Have a look at the research!   https://t.co/22qlhrlW30  Looks overvalued-expect $7  Loss making  $NNDM $ABUS $BQ $CLSK $ATXI $NPA $RVP $SNOA $TLGT  $SCKT $ALXN $VERU $SYBX $MARA $ABNB $TSLA $LAZR $PLTR
1341478592740552709 2020-12-22 21:19:54 +0100 <lse0086> $QS +$50 billion market cap, minimal revenue, loss making...  Production 5 years away!  Have a look at the research!   https://t.co/22qlhrlW30  Looks overvalued-expect $7  $NNDM $ABUS $BQ $CLSK $ATXI $NPA $RVP $SNOA $TLGT  $SCKT $ALXN $VERU $SYBX $MARA $ABNB $TSLA $LAZR $PLTR
1341478079391260679 2020-12-22 21:17:52 +0100 <lse0086> $QS Just matter of time.... Shorters are coming...  Have a look at the research!   https://t.co/22qlhrlW30  Looks overvalued-expect $7  Loss making!!  $NNDM $ABUS $BQ $CLSK $ATXI $NPA $RVP $SNOA $TLGT  $SCKT $ALXN $VERU $SYBX $MARA $ABNB $TSLA $LAZR $PLTR
1341447903978598403 2020-12-22 19:17:57 +0100 <lse0086> $QS Just matter of time.... Company is overvalued.  Have a look at the research!   https://t.co/22qlhrlW30  Looks overvalued-expect $7  Loss making  $NNDM $ABUS $BQ $CLSK $ATXI $NPA $RVP $SNOA $TLGT  $SCKT $ALXN $VERU $SYBX $MARA $ABNB $TSLA $LAZR $PLTR   https://t.co/thNyHTQWNO
1341444082447634432 2020-12-22 19:02:46 +0100 <jianguangchen> @bradloncar It looks like in today's market, biotech revenue does not matter.  look $ALXN (before M/A), $EXEL, $INCY, $NBIX, they all trades very bad. only exception is $SGEN
1341434811400003592 2020-12-22 18:25:56 +0100 <lse0086> $QS Just matter of time.... Company is overvalued.  Have a look at the research!   https://t.co/22qlhrlW30  Looks overvalued-expect $7  Loss making  $NNDM $ABUS $BQ $CLSK $ATXI $NPA $RVP $SNOA $TLGT  $SCKT $ALXN $VERU $SYBX $MARA $ABNB $TSLA $LAZR $PLTR
1341430146394427394 2020-12-22 18:07:24 +0100 <InsiderAlerts4U> $ALXN:  New Insider Filing on ALEXION PHARMACEUTICALS, INC.'s  EVP &amp; Chief Commercial Officer  BRIAN GOFF:   https://t.co/HhfO8M93GQ
1341429970065768448 2020-12-22 18:06:42 +0100 <MinteractApp> Today Top Flow in #healthcare sector, Buy Flow &amp; Sell Flow $TMO $AMGN $UNH $HUM $VRTX $PRGO $REGN $THC $ZTS $MDT $PFE $ABBV $GILD $BAX $JNJ $MRK $BMY $ALXN $CI $LLY #stock #stocks #StockMarket #Investment #investing #HealthTech  https://t.co/5JE2nlrW3B  https://t.co/B8MmEHhPFN
1341417404124020737 2020-12-22 17:16:46 +0100 <lse0086> $QS Bank the profits before warrants hit the market!  The batteries are not that great! Have a look at the research!   https://t.co/22qlhrlW30  Looks overvalued-expect $7  Loss making  $NNDM $ABUS $BQ $CLSK $ATXI $NPA $RVP $SNOA $TLGT  $SCKT $ALXN $VERU $SYBX $MARA $ABNB $TSLA
1341417153787015172 2020-12-22 17:15:46 +0100 <lse0086> $QS Time to short this overvalued junk...  Have a look at the research!   https://t.co/22qlhrlW30  Looks overvalued-expect $7  Loss making  $NNDM $ABUS $BQ $CLSK $ATXI $NPA $RVP $SNOA $TLGT  $SCKT $ALXN $VERU $SYBX $MARA $ABNB $TSLA $LAZR $PLTR
1341415292682072066 2020-12-22 17:08:22 +0100 <lse0086> $QS Time to short this overvalued junk...  The batteries are not that great! Have a look at the research!   https://t.co/22qlhrlW30  Looks overvalued-expect $7  Loss making  $NNDM $ABUS $BQ $CLSK $ATXI $NPA $RVP $SNOA $TLGT  $SCKT $ALXN $VERU $SYBX $MARA $ABNB $TSLA $LAZR $PLTR
1341413453773361154 2020-12-22 17:01:04 +0100 <lse0086> $QS party is about to crash...  The batteries are not that great! Have a look at the research!  Looks overvalued atm... expect $7 soon...  Loss making...  $NNDM $ABUS $BQ $CLSK $ATXI $NPA $RVP $SNOA $TLGT  $SCKT $ALXN $VERU $SYBX $MARA $ABNB $TSLA $LAZR $PLTR  @CitronResearch
1341413217076203521 2020-12-22 17:00:07 +0100 <ByAmyBrown> Wondering what's in store for biopharma? Download our free 2021 Preview, data-driven analyses of the biggest sales growth drivers, looming events and VC, IPO and M&amp;A trends (but unfort written just before $AZN bought $ALXN #doh!) via @evaluatevantage  https://t.co/kPwxy9D0Au  https://t.co/bKTFfT3JSU
